,train_loss,test_loss,test_acc,epoch,lr
0,2705.86279296875,546.4840087890625,0.10999999940395355,0,0.0001
1,nan,,10.0,0,
2,nan,,10.0,1,
3,nan,,10.0,2,
4,nan,,10.0,3,
5,nan,,10.0,4,
6,nan,,10.0,5,
7,nan,,10.0,6,
8,nan,,10.0,7,
9,nan,,10.0,8,
10,nan,,10.0,9,
11,nan,,10.0,10,
12,nan,,10.0,11,
13,nan,,10.0,12,
14,nan,,10.0,13,
15,nan,,10.0,14,
16,nan,,10.0,15,
17,nan,,10.0,16,
18,nan,,10.0,17,
19,nan,,10.0,18,
20,nan,,10.0,19,
21,nan,,10.0,20,
22,nan,,10.0,21,
23,nan,,10.0,22,
24,nan,,10.0,23,
25,nan,,10.0,24,
26,nan,,10.0,25,
27,nan,,10.0,26,
28,nan,,10.0,27,
29,nan,,10.0,28,
30,nan,,10.0,29,
31,nan,,10.0,30,
32,nan,,10.0,31,
33,nan,,10.0,32,
34,nan,,10.0,33,
35,nan,,10.0,34,
36,nan,,10.0,35,
37,nan,,10.0,36,
38,nan,,10.0,37,
39,nan,,10.0,38,
40,nan,,10.0,39,
41,nan,,10.0,40,
42,nan,,10.0,41,
43,nan,,10.0,42,
44,nan,,10.0,43,
45,nan,,10.0,44,
46,nan,,10.0,45,
47,nan,,10.0,46,
48,nan,,10.0,47,
49,nan,,10.0,48,
50,nan,,10.0,49,
51,nan,,10.0,50,
52,nan,,10.0,51,
53,nan,,10.0,52,
54,nan,,10.0,53,
55,nan,,10.0,54,
56,nan,,10.0,55,
57,nan,,10.0,56,
58,nan,,10.0,57,
59,nan,,10.0,58,
60,nan,,10.0,59,
61,nan,,10.0,60,
62,nan,,10.0,61,
63,nan,,10.0,62,
64,nan,,10.0,63,
65,nan,,10.0,64,
66,nan,,10.0,65,
67,nan,,10.0,66,
68,nan,,10.0,67,
69,nan,,10.0,68,
70,nan,,10.0,69,
71,nan,,10.0,70,
72,nan,,10.0,71,
73,nan,,10.0,72,
74,nan,,10.0,73,
75,nan,,10.0,74,
76,nan,,10.0,75,
77,nan,,10.0,76,
78,nan,,10.0,77,
79,nan,,10.0,78,
80,nan,,10.0,79,
81,nan,,10.0,80,
82,nan,,10.0,81,
83,nan,,10.0,82,
84,nan,,10.0,83,
85,nan,,10.0,84,
86,nan,,10.0,85,
87,nan,,10.0,86,
88,nan,,10.0,87,
89,nan,,10.0,88,
90,nan,,10.0,89,
91,nan,,10.0,90,
92,nan,,10.0,91,
93,nan,,10.0,92,
94,nan,,10.0,93,
95,nan,,10.0,94,
96,nan,,10.0,95,
97,nan,,10.0,96,
98,nan,,10.0,97,
99,nan,,10.0,98,
100,nan,,10.0,99,
